timestamp_utc,operational_state,FLOWRATE_1_m3h,FLOWRATE_2_m3h,FLOWRATE_3_m3h,TOTALISER_1_SENSOR_m3,TOTALISER_2_SENSOR_m3,TOTALISER_1_CALC_m3,TOTALISER_2_CALC_m3,WELL_PRESSURE_A_bar,WELL_PRESSURE_B_bar,WATER_CO2_RATIO
2024-03-14 08:00:00,maintenance,87.692,42.85317908989691,21.88,1.564,0.718,1.462,0.714,203.69,115.224,0.4887
2024-03-14 08:01:00,maintenance,87.536,43.0946191130385,21.931,3.125,1.44,2.92,1.432,205.958,115.351,0.4923
2024-03-14 08:02:00,maintenance,87.718,43.27624981731451,21.672,4.689,2.165,4.382,2.154,202.061,115.147,0.4933
2024-03-14 08:03:00,maintenance,87.792,43.26405833376263,21.806,6.255,2.889,5.846,2.875,199.19,115.202,0.4928
2024-03-14 08:04:00,maintenance,87.868,43.2371768740369,21.963,7.822,3.613,7.31,3.595,199.836,114.504,0.4921
2024-03-14 08:05:00,active_injection,660.0,42.80473913857877,21.95,19.592,4.33,18.31,4.309,50.0,114.818,0.0649
2024-03-14 08:06:00,active_injection,87.209,43.26860336615145,22.004,21.147,5.055,19.764,5.03,195.655,114.747,0.4961
2024-03-14 08:07:00,active_injection,87.069,42.92704609675484,21.798,22.7,5.774,21.215,5.745,198.219,114.533,0.493
2024-03-14 08:08:00,active_injection,87.214,,21.927,24.255,5.774,22.668,5.745,202.917,114.561,0.0
2024-03-14 08:09:00,active_injection,87.179,,21.699,25.81,5.774,24.121,5.745,199.024,113.881,0.0
2024-03-14 08:10:00,active_injection,87.017,,21.588,27.362,5.774,25.572,5.745,199.057,114.318,0.0
2024-03-14 08:11:00,active_injection,86.776,42.0445266993457,21.637,28.909,6.478,27.018,6.446,196.042,114.155,0.4845
2024-03-14 08:12:00,active_injection,87.283,42.242321538178096,263.285,30.466,7.186,28.473,7.15,200.986,114.21,0.484
2024-03-14 08:13:00,active_injection,87.66,42.26345253529149,21.771,32.029,7.894,29.934,7.855,201.595,113.925,0.4821
2024-03-14 08:14:00,active_injection,87.25,42.78355335836594,21.766,33.585,8.61,31.388,8.568,191.759,114.214,0.4904
2024-03-14 08:15:00,active_injection,87.831,42.674547064775375,21.919,35.151,9.325,32.852,9.279,200.63,115.187,0.4859
2024-03-14 08:16:00,active_injection,87.7,42.50040495111983,21.664,36.715,10.037,34.313,9.987,199.76,115.521,0.4846
2024-03-14 08:17:00,active_injection,87.993,41.81069255615287,21.713,38.284,10.738,35.78,10.684,199.961,115.701,0.4752
2024-03-14 08:18:00,active_injection,87.879,42.09115216054532,21.606,39.852,11.443,37.244,11.386,198.17,115.807,0.479
2024-03-14 08:19:00,active_injection,87.858,41.66427676765684,21.592,41.418,12.14,38.709,12.08,198.423,116.418,0.4742
2024-03-14 08:20:00,active_injection,88.28,41.56156905784417,21.891,42.993,12.837,40.18,12.773,197.45,116.003,0.4708
2024-03-14 08:21:00,active_injection,87.553,42.1676211501802,22.015,44.554,13.543,41.639,13.475,197.368,116.003,0.4816
2024-03-14 08:22:00,active_injection,87.848,42.6985128113503,0.894,46.121,14.258,43.103,14.187,199.89,116.003,0.486
2024-03-14 08:23:00,active_injection,87.943,42.94700756077316,0.869,47.689,14.977,44.569,14.903,195.888,116.003,0.4883
2024-03-14 08:24:00,active_injection,87.842,42.352641108301725,0.865,49.256,15.687,46.033,15.609,197.426,116.003,0.4821
2024-03-14 08:25:00,active_injection,87.498,42.79882735914995,0.884,270.816,16.404,47.491,16.322,203.445,116.003,0.4891
2024-03-14 08:26:00,active_injection,87.064,42.97978274249791,0.881,272.369,17.124,48.943,17.038,200.179,116.003,0.4937
2024-03-14 08:27:00,active_injection,87.243,42.59338187603317,0.867,273.924,17.837,50.397,17.748,198.773,116.003,0.4882
2024-03-14 08:28:00,active_injection,86.977,42.18684482987224,0.861,275.475,18.544,51.846,18.451,205.36,116.003,0.485
2024-03-14 08:29:00,active_injection,86.772,42.57822929767757,0.885,277.023,19.257,53.292,19.161,200.319,116.003,0.4907
2024-03-14 08:30:00,active_injection,86.436,42.29590903506576,0.903,278.564,19.965,54.733,19.866,197.589,116.003,0.4893
2024-03-14 08:31:00,active_injection,86.334,42.80207340276736,22.431,280.104,20.682,56.172,20.579,199.883,116.003,0.4958
2024-03-14 08:32:00,active_injection,86.197,43.02080094459885,22.232,281.641,21.403,57.609,21.296,201.394,116.003,0.4991
2024-03-14 08:33:00,active_injection,86.219,42.82307998821473,22.227,283.179,22.12,59.046,22.01,200.211,114.019,0.4967
2024-03-14 08:34:00,active_injection,86.326,42.82659131381928,22.429,284.718,22.838,60.484,22.724,200.838,114.55,0.4961
2024-03-14 08:35:00,active_injection,86.115,42.649205947713725,22.509,286.254,23.552,61.92,23.435,198.069,114.299,3.1
2024-03-14 08:36:00,active_injection,86.218,43.494873513023634,21.964,287.791,24.28,63.356,24.16,203.097,114.513,3.1
2024-03-14 08:37:00,active_injection,86.433,43.20842046075832,22.074,289.333,25.004,64.797,24.88,194.949,114.609,3.1
2024-03-14 08:38:00,active_injection,86.738,42.851487824129,22.245,290.88,25.722,66.243,25.594,198.527,114.732,3.1
2024-03-14 08:39:00,active_injection,86.766,43.29324279052904,22.709,292.427,26.447,67.689,26.316,197.525,114.725,3.1
2024-03-14 08:40:00,idle,86.735,43.33430822800042,22.61,293.974,27.173,69.134,27.038,201.861,114.444,3.1
2024-03-14 08:41:00,idle,86.918,43.470379394149646,22.591,295.524,27.901,70.583,27.762,204.142,114.521,3.1
2024-03-14 08:42:00,idle,86.819,43.28746997013686,22.5,297.072,28.626,72.03,28.484,203.476,114.86,3.1
2024-03-14 08:43:00,active_injection,87.166,43.33922332117436,22.339,298.627,29.352,73.483,29.206,199.498,114.482,0.4972
2024-03-14 08:44:00,active_injection,86.81,43.01990376581189,22.138,300.175,30.073,74.93,29.923,204.811,115.309,0.4956
2024-03-14 08:45:00,active_injection,242.854,43.19709425820912,21.821,304.506,30.796,78.977,30.643,137.444,115.323,0.1779
2024-03-14 08:46:00,active_injection,241.438,42.914934911010185,21.82,308.811,31.515,83.001,31.358,137.386,115.307,0.1777
2024-03-14 08:47:00,active_injection,241.465,42.99763065647157,21.716,313.117,32.235,87.026,32.075,139.018,115.506,0.1781
2024-03-14 08:48:00,active_injection,241.624,42.37246581960894,22.143,317.426,32.945,91.053,32.781,140.615,115.442,0.1754
2024-03-14 08:49:00,active_injection,242.06,41.96994163633129,22.104,321.743,33.648,95.087,33.481,136.054,115.954,0.1734
2024-03-14 08:50:00,active_injection,242.563,42.66893812860491,22.253,326.069,34.363,99.13,34.192,139.848,115.372,0.1759
