timestamp_utc,batch_id,operational_state,WHP_WELL_A_bar,WHP_WELL_B_bar,ANNULUS_PRESS_bar,INJ_RATE_FT01_m3h,INJ_RATE_FT02_m3h,CO2_TOTAL_SENSOR_m3,CO2_TOTAL_CALC_m3,TEMP_SURF_01_degC,TEMP_SURF_02_degC,CO2_TRACER_01_ppm,WATER_FLOW_m3h,ENERGY_PER_TONNE_kWht,INGESTION_LATENCY_sec
2024-03-15 06:00:00,STR1-2024-03-15-0800,active_injection,142.671,142.096,122.942,87.535,88.161,2.918,2.918,22.42,22.993,46.171662639393446,12.776,176.413,7.8
2024-03-15 06:02:00,STR1-2024-03-15-0800,active_injection,143.636,143.413,119.831,86.951,86.094,5.816,5.816,22.593,23.095,46.37251850044292,12.905,176.685,38.4
2024-03-15 06:04:00,STR1-2024-03-15-0800,active_injection,143.43,142.102,122.975,87.196,86.125,8.723,8.723,22.353,23.091,46.71759049629848,12.991,175.676,38.2
2024-03-15 06:06:00,STR1-2024-03-15-0800,active_injection,143.224,141.788,124.623,88.108,88.591,11.66,11.66,22.286,23.111,46.51698026035556,13.174,173.78,30.7
2024-03-15 06:08:00,STR1-2024-03-15-0800,active_injection,143.896,144.871,117.368,87.366,87.143,14.572,14.572,22.349,23.462,46.36935324414018,12.77,173.088,35.5
2024-03-15 06:10:00,STR1-2024-03-15-0800,maintenance,144.449,146.077,121.188,87.509,88.223,17.489,17.489,22.242,23.457,,12.628,172.92,23.5
2024-03-15 06:12:00,STR1-2024-03-15-0800,maintenance,143.655,143.568,123.261,86.966,87.439,20.388,20.388,22.494,23.423,,12.802,177.312,8.7
2024-03-15 06:14:00,STR1-2024-03-15-0800,maintenance,142.951,144.155,121.102,87.34,87.267,23.299,23.299,22.401,23.288,,12.438,178.216,12.7
2024-03-15 06:16:00,STR1-2024-03-15-0800,active_injection,142.748,143.182,122.078,86.45,85.603,26.181,26.181,22.389,23.255,44.79232044982935,12.194,179.214,6.0
2024-03-15 06:18:00,STR1-2024-03-15-0800,active_injection,142.544,141.77,119.954,85.566,84.051,29.033,29.033,22.64,23.419,45.24192983139499,11.74,183.084,71.7
2024-03-15 06:20:00,STR1-2024-03-15-0800,active_injection,141.602,142.036,120.535,85.536,85.089,31.884,31.884,23.159,23.343,45.8554553943873,11.833,184.049,26.3
2024-03-15 06:22:00,STR1-2024-03-15-0800,active_injection,139.765,141.611,118.489,85.969,86.825,34.75,34.75,23.496,23.577,46.32879460703901,11.837,184.342,15.4
2024-03-15 06:24:00,STR1-2024-03-15-0800,active_injection,138.878,138.835,120.382,85.544,85.758,37.601,37.601,22.839,23.704,47.356547786520366,11.896,184.124,18.6
2024-03-15 06:26:00,STR1-2024-03-15-0800,active_injection,138.092,139.969,117.887,86.4,85.154,40.481,40.481,22.662,23.741,47.35937889700408,12.14,183.667,88.3
2024-03-15 06:28:00,STR1-2024-03-15-0800,active_injection,137.675,134.532,117.699,86.72,86.893,43.372,43.372,23.167,23.891,47.783284128234946,12.515,182.294,5.0
2024-03-15 06:30:00,STR1-2024-03-15-0800,active_injection,138.145,139.132,116.6,484.718,86.942,59.529,59.529,22.842,23.656,47.6259559854814,12.603,180.067,26.5
2024-03-15 06:32:00,STR1-2024-03-15-0800,active_injection,137.329,137.433,115.754,87.338,86.455,62.44,62.44,22.506,23.573,47.99528564819271,12.412,178.797,21.1
2024-03-15 06:34:00,STR1-2024-03-15-0800,active_injection,137.613,137.254,116.106,86.628,86.782,65.328,65.328,22.455,23.415,47.11150109247253,12.309,178.101,28.4
2024-03-15 06:36:00,STR1-2024-03-15-0800,active_injection,139.69,139.8,119.525,87.106,87.164,68.232,68.232,22.573,23.214,45.615048942626366,12.16,177.305,0.5
2024-03-15 06:38:00,STR1-2024-03-15-0800,active_injection,139.864,137.479,118.042,87.005,85.862,71.132,71.132,22.658,23.31,45.69902640134838,12.145,179.133,61.7
2024-03-15 06:40:00,STR1-2024-03-15-0800,active_injection,140.534,140.271,120.034,86.662,87.019,74.02,74.02,21.757,23.06,44.20091822083314,11.653,178.651,80.7
2024-03-15 06:42:00,STR1-2024-03-15-0800,active_injection,139.325,139.753,122.577,86.873,87.433,76.916,76.916,21.693,23.06,43.84636970712358,11.825,179.655,25.0
2024-03-15 06:44:00,STR1-2024-03-15-0800,active_injection,139.517,141.291,120.332,86.642,87.725,79.804,79.804,21.554,23.06,42.37190190973789,11.878,179.955,35.8
2024-03-15 06:46:00,STR1-2024-03-15-0800,active_injection,140.483,139.861,118.758,87.481,88.534,82.72,82.72,21.15,23.06,42.851247945653576,11.975,181.15,76.7
2024-03-15 06:48:00,STR1-2024-03-15-0800,active_injection,138.688,137.718,120.288,86.87,85.493,85.616,85.616,21.661,23.06,43.44198685463254,11.972,179.125,36.9
2024-03-15 06:50:00,STR1-2024-03-15-0800,active_injection,139.039,138.437,117.367,85.776,84.838,88.475,88.475,21.387,23.06,44.6797685969625,11.851,175.427,5.0
2024-03-15 06:52:00,STR1-2024-03-15-0800,active_injection,138.544,139.642,113.686,86.663,87.178,91.364,91.364,21.947,23.06,46.216928378210426,12.059,177.356,25.8
2024-03-15 06:54:00,STR1-2024-03-15-0800,active_injection,139.249,139.644,116.346,86.71,87.223,94.254,94.254,22.179,23.06,46.191354061219606,11.929,175.498,28.0
2024-03-15 06:56:00,STR1-2024-03-15-0800,active_injection,139.161,138.525,114.545,86.706,87.221,97.144,97.144,22.517,23.06,46.12171305632227,12.095,176.726,16.6
2024-03-15 06:58:00,STR1-2024-03-15-0800,active_injection,140.272,140.888,118.528,86.524,90.377,100.029,100.029,22.48,23.06,46.292475748837425,12.133,177.309,40.0
2024-03-15 07:00:00,STR1-2024-03-15-0800,active_injection,140.98,123.097,119.87,86.756,87.327,102.92,102.92,22.386,23.302,45.46148115743852,11.953,177.78,81.7
2024-03-15 07:02:00,STR1-2024-03-15-0800,active_injection,139.975,123.137,122.331,87.403,88.539,105.834,105.834,22.674,23.057,45.43912512075776,12.145,177.722,77.9
2024-03-15 07:04:00,STR1-2024-03-15-0800,active_injection,140.873,122.031,120.396,87.308,88.262,108.744,108.744,22.566,23.115,45.55363326202537,12.143,176.888,18.0
